id,host_id,neighbourhood_cleansed,latitude,longitude,host_since,price,price_category,price_per_person,room_type,property_type,accommodates,host_total_listings_count,host_professional,host_scope,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,estimated_revenue_l365d,estimated_occupancy_l365d
626614,3110560,Llubí,39.67311,3.0287,2012-07-31,253.0,Premium,42.166666666666664,Entire home/apt,Entire cottage,6,6.0,True,Local,14,4.36,4.14,4.29,4.57,4.57,4.14,4.0,0.12,f,0.0,0
626621,3110560,Llubí,39.67347,3.02716,2012-07-31,183.0,Mid-range,45.75,Entire home/apt,Entire condo,4,6.0,True,Local,29,4.59,4.45,4.31,4.69,4.79,4.34,4.24,0.98,f,7686.0,42
626623,3110560,Llubí,39.67165,3.02937,2012-07-31,115.0,Mid-range,57.5,Private room,Private room in rental unit,2,6.0,True,Local,24,4.21,4.29,4.21,4.63,4.75,4.33,4.29,0.81,f,2760.0,24
626624,3110560,Llubí,39.67296,3.02923,2012-07-31,104.0,Mid-range,52.0,Entire home/apt,Entire guest suite,2,6.0,True,Local,28,4.61,4.56,4.56,4.86,4.93,4.5,4.18,0.25,f,1248.0,12
626625,3110560,Llubí,39.67171,3.02799,2012-07-31,165.0,Mid-range,41.25,Entire home/apt,Entire guest suite,4,6.0,True,Local,15,4.4,4.13,4.2,4.93,4.8,4.53,4.07,0.18,f,990.0,6
626629,3110560,Llubí,39.67172,3.02795,2012-07-31,183.0,Mid-range,45.75,Entire home/apt,Entire condo,4,6.0,True,Local,16,4.5,4.69,4.25,4.56,4.88,4.44,4.31,0.57,f,7686.0,42
630859,3136319,Manacor,39.65921,3.21963,2012-08-02,450.0,Luxury,37.5,Entire home/apt,Entire cottage,12,1.0,False,Local,85,4.98,4.96,4.87,4.98,4.96,4.79,4.94,0.59,t,75600.0,168
637903,3182615,Andratx,39.57865,2.39837,2012-08-07,169.0,Mid-range,28.166666666666668,Entire home/apt,Entire cottage,6,1.0,False,Local,173,4.84,4.79,4.85,4.94,4.93,4.76,4.7,1.09,t,43095.0,255
639787,3193442,Ses Salines,39.34724,3.05113,2012-08-08,108.0,Mid-range,54.0,Entire home/apt,Entire cottage,2,2.0,False,Local,55,4.8,4.98,4.75,4.98,4.91,4.78,4.8,0.35,t,11664.0,108
641406,3196379,Andratx,39.53404,2.38492,2012-08-08,209.0,Premium,104.5,Entire home/apt,Entire rental unit,2,4.0,True,Mixed,381,4.83,4.84,4.65,4.93,4.92,4.86,4.61,2.39,t,41382.0,198
655100,3297274,Santanyí,39.35257,3.12934,2012-08-18,195.0,Mid-range,32.5,Entire home/apt,Entire home,6,4.0,True,Local,125,4.91,4.92,4.92,4.91,4.94,4.9,4.77,0.79,t,18720.0,96
661082,3207615,Capdepera,39.64597,3.43407,2012-08-09,339.0,Premium,42.375,Entire home/apt,Entire home,8,62.0,True,Mixed,24,4.71,4.75,4.79,4.79,4.88,4.88,4.67,0.21,f,2034.0,6
661111,3207615,Llucmajor,39.4398524,2.7501001,2012-08-09,369.0,Premium,61.5,Entire home/apt,Entire home,6,62.0,True,Mixed,114,4.61,4.66,4.56,4.71,4.77,4.84,4.48,0.83,f,24354.0,66
684725,2372127,Llucmajor,39.43181,2.75568,2012-05-14,210.0,Premium,35.0,Entire home/apt,Entire home,6,15.0,True,Mixed,91,4.85,4.91,4.89,4.92,4.93,4.56,4.77,0.62,t,27300.0,130
691442,3534555,Selva,39.74825,2.91315,2012-09-11,240.0,Premium,40.0,Entire home/apt,Entire cottage,6,1.0,False,Local,153,4.93,4.89,4.93,4.93,4.93,4.69,4.79,0.97,t,31680.0,132
691585,3535280,Fornalutx,39.78295,2.73975,2012-09-11,183.0,Mid-range,30.5,Entire home/apt,Entire home,6,2.0,False,Mixed,59,4.75,4.75,4.64,4.8,4.9,4.88,4.73,0.53,f,17568.0,96
711976,3664725,Inca,39.7157,2.97775,2012-09-24,228.0,Premium,28.5,Entire home/apt,Entire cottage,8,2.0,False,Local,101,4.65,4.6,4.68,4.89,4.88,4.61,4.62,0.67,f,19152.0,84
714301,3678792,Sóller,39.76576,2.72867,2012-09-26,699.0,Luxury,69.9,Entire home/apt,Entire villa,10,1.0,False,Local,21,4.9,4.9,4.76,4.9,5.0,4.81,4.76,0.22,f,178245.0,255
732396,3812871,Pollença,39.87322,2.99146,2012-10-09,170.0,Mid-range,85.0,Entire home/apt,Entire cottage,2,4.0,True,Global,137,4.9,4.9,4.82,4.96,4.99,4.94,4.75,0.89,t,15300.0,90
765176,2954364,Alcúdia,39.81661,3.1165,2012-07-16,225.0,Premium,56.25,Entire home/apt,Entire rental unit,4,18.0,True,Mixed,176,4.93,4.95,4.87,4.98,4.98,4.97,4.83,1.2,t,57375.0,255
767234,4046511,Santa Margalida,39.7439,3.13237,2012-11-03,422.0,Luxury,42.2,Entire home/apt,Entire cottage,10,10.0,True,Local,57,4.84,4.86,4.95,4.75,4.91,4.74,4.77,0.41,f,5064.0,12
770549,4053908,Bunyola,39.72462,2.68327,2012-11-04,1200.0,Ultra Luxury,75.0,Entire home/apt,Entire cottage,16,2.0,False,Mixed,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.04,f,0.0,0
781232,2954364,Alcúdia,39.81886,3.1155,2012-07-16,295.0,Premium,49.166666666666664,Entire home/apt,Entire rental unit,6,18.0,True,Mixed,127,4.92,4.94,4.91,4.98,5.0,4.94,4.8,0.92,t,66080.0,224
808359,4253098,Calvià,39.47805,2.52264,2012-11-26,407.0,Luxury,50.875,Entire home/apt,Entire villa,8,2.0,False,Mixed,130,4.92,4.93,4.94,4.92,4.9,4.78,4.83,0.89,f,12210.0,30
843097,4401994,Pollença,39.91792,3.05715,2012-12-14,240.0,Premium,34.285714285714285,Entire home/apt,Entire townhouse,7,4.0,True,Global,69,4.87,4.94,4.78,4.88,4.99,4.81,4.78,0.47,,43200.0,180
850816,4443018,Sóller,39.77161,2.72861,2012-12-19,850.0,Luxury,85.0,Entire home/apt,Entire villa,10,2.0,False,Local,73,4.83,4.79,4.67,4.88,4.88,4.93,4.64,0.49,t,61200.0,72
853627,4457538,Deyá,39.75976,2.64318,2012-12-21,205.0,Premium,51.25,Entire home/apt,Entire cottage,4,1.0,False,Local,90,4.91,4.91,4.82,4.81,4.94,4.98,4.81,0.6,t,16400.0,80
861054,4511174,Sa Pobla,39.77294,3.02242,2012-12-28,35.0,Budget,17.5,Private room,Private room in home,2,4.0,True,Local,151,4.69,4.83,4.8,4.86,4.9,4.38,4.75,0.98,t,840.0,24
864387,2954364,Alcúdia,39.86405,3.15693,2012-07-16,420.0,Luxury,70.0,Entire home/apt,Entire chalet,6,18.0,True,Mixed,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.01,t,0.0,0
899914,2848610,Palma de Mallorca,39.5736,2.64679,2012-07-06,385.0,Premium,96.25,Entire home/apt,Entire home,4,1.0,False,Local,227,4.81,4.89,4.74,4.93,4.95,4.93,4.73,1.51,t,57750.0,150
909420,4876698,Alcúdia,39.84084,3.06957,2013-01-28,457.0,Luxury,57.125,Entire home/apt,Entire villa,8,4.0,True,Local,34,5.0,4.94,4.94,4.94,4.97,4.91,4.94,0.28,t,41130.0,90
911428,4876698,Alcúdia,39.84249,3.07193,2013-01-28,457.0,Luxury,57.125,Entire home/apt,Entire villa,8,4.0,True,Local,25,5.0,4.96,4.96,4.96,5.0,5.0,5.0,0.24,t,27420.0,60
915609,4915214,Artà,39.68188,3.37607,2013-01-31,286.0,Premium,40.857142857142854,Entire home/apt,Entire home,7,6.0,True,Global,25,4.68,4.48,4.76,4.8,4.92,4.76,4.6,0.17,f,24024.0,84
918200,2152325,Sóller,39.80111,2.69856,2012-04-16,197.0,Mid-range,49.25,Entire home/apt,Entire rental unit,4,3.0,False,Mixed,32,4.94,4.94,4.91,4.84,4.91,4.91,4.81,0.22,t,35854.0,182
918405,4645996,Felanitx,39.41052,3.25566,2013-01-09,320.0,Premium,80.0,Entire home/apt,Entire condo,4,109.0,True,Mixed,0,,,,,,,,,f,0.0,0
